,UNITID,COSTT4_A,GRAD_DEBT_MDN10YR,NPT4_PUB,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P8
504,126863,16306,111.317474786897,8825,38400,32600,35300
506,126942,18370,132.467794996407,11381,36400,30100,33000
511,127185,23428,194.954004176786,14925,39400,30500,35000
512,127200,16915,129.880988915645,10987,40600,33300,37600
515,127389,18151,92.7645623224143,10357,32100,27800,32400
516,127556,22323,233.236613839213,15898,42300,34200,38800
517,127565,21062,227.935781706503,13806,44200,36100,39800
518,127617,15874,90.124747920325,8770,34000,30700,33800
521,127732,18857,99.4012041525665,12234,37700,30800,34500
522,127741,24783,217.016067513122,16075,47100,35300,40900
523,127778,19658,108.667058720542,11980,31100,28300,31000
524,127820,17277,95.414978388769,10088,35700,29000,31900
525,127884,18867,106.016642654187,11795,31900,27300,29800
526,127909,17558,100.715810521478,10822,43300,34800,37800
530,128106,22493,227.935781706503,13999,41600,39100,39800
534,128258,19890,94.4396252763505,11909,33200,28100,29800
537,128391,24456,214.68370137473,17437,43400,32500,35800
539,128577,14827,69.2288676531846,9223,37200,31000,31700
542,128771,20520,236.417113118838,13434,51600,40800,45100
543,128780,16702,198.070893470819,13836,43700,48200,48500
547,129020,34149,227.935781706503,21724,66000,49800,57300
550,129215,27163,257.090358436405,18292,49000,36800,43900
553,129367,14218,97.5353112418528,8145,35600,28700,32000
559,129543,12546,84.0181893034438,6800,34200,28000,30500
560,129695,12725,53.0083213270939,6496,36600,30400,33800
561,129729,12675,79.5124819906408,6743,38800,31000,34300
562,129756,9212,80.9755116592686,3013,37900,29500,32700
564,129808,12527,111.317474786897,6920,37300,29900,33000
568,130004,12269,58.3091534598033,6443,36700,29500,35600
569,130040,11795,53.4111845691798,6438,34900,26900,31300
577,130396,13668,60.959569526158,7668,36200,29500,34000
578,130493,25602,235.887029905567,18231,48100,38800,43900
581,130606,13944,90.3791878626951,8091,38500,30100,34800
584,130776,21432,255.998387017067,16154,50400,37800,45200
588,130907,13504,111.317474786897,8593,35900,28300,33700
589,130934,22912,275.643270900888,11626,38400,30100,35400
590,130943,26131,260.50409432987,18313,64000,48100,56200
596,131399,22626,263.684593609495,16276,39400,32800,35200
612,132693,10279,129.87038725138,4668,34000,26900,30800
613,132709,22039,79.5124819906408,14577,38700,29900,34100
615,132851,14543,137.821635450444,9634,34900,27500,30800
617,132903,21605,192.844272987967,9217,51200,39900,45400
621,133386,12982,87.4637301897049,8867,32700,27400,30400
624,133508,14237,84.8133141233502,8547,38200,31600,34700
627,133650,23895,249.647990122081,12479,44700,31800,39600
628,133669,19375,182.730285278758,7990,48300,38800,44200
629,133702,9059,143.779770767609,3296,35800,30800,33500
638,133951,19479,174.927460379409,6232,52000,41500,46000
639,133960,18973,100.715810521478,14378,33400,29100,30900
644,134097,22906,190.829956777538,9561,53900,39700,48200
645,134130,21295,159.024963981281,3679,65700,47700,57800
650,134343,11447,75.770094504948,3141,34000,28300,30600
652,134495,9076,103.493446559018,2871,36800,29600,33300
656,134608,10415,85.0571524014548,3966,33800,27900,30900
662,135160,9378,74.1268365438081,1494,32500,27600,33100
664,135188,10594,71.5612337915767,4611,34900,27000,30800
670,135391,18075,95.414978388769,11874,34900,28300,31900
676,135717,10633,98.0865977836545,3732,35600,28800,33000
681,136172,16874,164.654447706219,7159,49200,37500,44100
