,UNITID,CIPCODE,CREDLEV,DEBT_ALL_STGP_ANY_MEAN,EARN_MDN_HI_1YR,EARN_MDN_HI_2YR,EARN_NE_MDN_3YR,EARN_CNTOVER150_3YR,EARN_COUNT_NE_3YR,employment_rate,rate_over85
1532,101480.0,5208,3,18051.0,38501.0,35060.0,38259.0,24.0,27.0,0.8888888888888888,1
1543,101505.0,1203,2,18018.0,44315.0,39369.0,36719.0,23.0,31.0,0.7419354838709677,0
1545,101505.0,1500,2,9759.0,42023.0,48432.0,49786.0,19.0,22.0,0.8636363636363636,1
1550,101505.0,2401,2,13075.0,22917.0,25580.0,30599.0,46.0,107.0,0.42990654205607476,0
1557,101505.0,5109,2,18769.0,45611.0,42682.0,44622.0,31.0,33.0,0.9393939393939394,1
1560,101505.0,5138,2,18701.0,53304.0,52622.0,54204.0,174.0,214.0,0.8130841121495327,0
1566,101505.0,5204,2,12645.0,30761.0,25658.0,24093.0,21.0,33.0,0.6363636363636364,0
1575,101514.0,1506,2,15999.0,48074.0,45794.0,54135.0,51.0,61.0,0.8360655737704918,0
1581,101514.0,2401,2,13665.0,25964.0,24124.0,27726.0,98.0,208.0,0.47115384615384615,0
1593,101514.0,5108,2,16140.0,41775.0,46673.0,44419.0,17.0,20.0,0.85,0
1598,101514.0,5138,2,20416.0,48444.0,46730.0,48439.0,153.0,176.0,0.8693181818181818,1
1646,101569.0,2401,2,11814.0,23818.0,20687.0,23872.0,33.0,71.0,0.4647887323943662,0
1719,101587.0,5138,2,28492.0,52682.0,52107.0,54452.0,29.0,36.0,0.8055555555555556,0
1736,101602.0,2401,2,9833.0,20700.0,14442.0,20266.0,24.0,49.0,0.4897959183673469,0
1746,101602.0,5138,2,13675.0,54947.0,56302.0,59568.0,23.0,26.0,0.8846153846153846,1
1749,101648.0,2401,2,10344.0,15412.0,18771.0,31197.0,29.0,59.0,0.4915254237288136,0
1814,101693.0,5202,3,39201.0,30645.0,38289.0,38806.0,18.0,20.0,0.9,1
1832,101709.0,1312,3,25964.0,35420.0,34872.0,37776.0,36.0,47.0,0.7659574468085106,0
1844,101709.0,4407,3,25817.0,32157.0,29250.0,31018.0,21.0,30.0,0.7,0
1886,101736.0,5138,2,17676.0,44933.0,43922.0,43540.0,81.0,86.0,0.9418604651162791,1
1892,101879.0,901,3,22218.0,26107.0,23262.0,30674.0,46.0,57.0,0.8070175438596491,0
1901,101879.0,1312,3,25021.0,36116.0,36776.0,38804.0,79.0,98.0,0.8061224489795918,0
1913,101879.0,2301,3,25748.0,35166.0,30409.0,30716.0,18.0,30.0,0.6,0
1917,101879.0,2601,3,23072.0,31781.0,28870.0,31146.0,18.0,27.0,0.6666666666666666,0
1938,101879.0,4407,3,30060.0,30894.0,27492.0,28939.0,33.0,61.0,0.5409836065573771,0
1942,101879.0,4507,3,27866.0,37794.0,35060.0,39682.0,29.0,35.0,0.8285714285714286,0
1946,101879.0,4511,3,28745.0,20499.0,23456.0,28344.0,16.0,25.0,0.64,0
1953,101879.0,5138,3,25017.0,51845.0,53064.0,54199.0,133.0,147.0,0.9047619047619048,1
1955,101879.0,5202,3,23172.0,37711.0,32284.0,37375.0,62.0,73.0,0.8493150684931506,0
1958,101879.0,5203,3,24289.0,41641.0,39369.0,48682.0,34.0,42.0,0.8095238095238095,0
