,UNITID,STABBR,HIGHDEG,CONTROL,ADM_RATE_ALL,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,MD_EARN_WNE_P10,COMPL_RPY_3YR_RT
5209,475732,GA,3,3,0.77777777777777,27089.0,19469.0,19469.0,82055.0,0.6646356943
5210,475741,IN,3,3,0.77777777777777,34541.0,19469.0,19469.0,82055.0,0.6646356943
5281,480569,FL,4,2,0.66342502547003,28148.0,12240.0,12240.0,53864.0,0.831838565
5354,482149,GA,4,1,0.73281881661154,22681.0,8832.0,24210.0,45008.0,0.7541436464
5355,482158,GA,4,1,0.99386753883892,15986.0,4042.0,11389.0,39134.0,0.5645933014
5365,482413,NY,4,3,0.44861090025808,35936.0,17488.0,17488.0,45217.0,0.5539479488
5366,482422,AZ,4,3,0.44861090025808,39712.0,17488.0,17488.0,45217.0,0.5539479488
5367,482431,CA,4,3,0.44861090025808,35990.0,17488.0,17488.0,45217.0,0.5539479488
5368,482440,CO,4,3,0.44861090025808,39808.0,17488.0,17488.0,45217.0,0.5539479488
5369,482459,FL,4,3,0.44861090025808,35910.0,17488.0,17488.0,45217.0,0.5539479488
5370,482468,GA,4,3,0.44861090025808,36313.0,17488.0,17488.0,45217.0,0.5539479488
5371,482477,IL,4,3,0.44861090025808,35990.0,17488.0,17488.0,45217.0,0.5539479488
5374,482556,NJ,4,3,0.44861090025808,32842.0,17488.0,17488.0,45217.0,0.5539479488
5376,482574,OH,4,3,0.44861090025808,34548.0,17488.0,17488.0,45217.0,0.5539479488
5377,482608,PA,4,3,0.44861090025808,40192.0,17488.0,17488.0,45217.0,0.5539479488
5379,482635,TX,4,3,0.44861090025808,37588.0,17488.0,17488.0,45217.0,0.5539479488
5381,482680,GA,4,1,0.81156069364161,17196.0,5341.0,15560.0,46829.0,0.7750865052
5387,482990,AZ,2,3,0.99377593360995,29876.0,18334.0,18334.0,31302.0,0.3667400881
5459,484473,FL,3,1,0.31321616672644,17461.0,3876.0,16579.0,69468.0,0.7285548366
5556,486840,GA,4,1,0.81587042199365,24858.0,6436.0,17690.0,54321.0,0.6917181706
5561,486901,TN,4,2,0.60348837209302,46899.0,36140.0,36140.0,44385.0,0.8223140496
5562,486938,NV,3,3,0.77777777777777,41902.0,19982.0,19982.0,82055.0,0.6646356943
5564,486956,NJ,3,3,0.77777777777777,34086.0,19982.0,19982.0,82055.0,0.6646356943
5565,486965,CA,3,3,0.48742746615087,56932.0,40600.0,40600.0,26472.0,0.5909090909
5571,487092,GA,2,2,0.15602281623979,72884.0,55468.0,55468.0,81802.0,0.8293564714
5579,487375,NV,3,3,0.99377593360995,33236.0,20826.0,20826.0,31302.0,0.3667400881
5592,487524,ME,4,2,0.85546038543897,32057.0,20430.0,20430.0,43102.0,0.7672727273
5596,487603,WA,4,2,0.95983086680761,26210.0,11970.0,11970.0,52311.0,0.8037735849
5656,488679,IN,4,2,0.91907216494845,24009.0,7976.0,7976.0,55759.0,0.6312573443
5685,489353,CA,3,3,0.77777777777777,27386.0,19982.0,19982.0,82055.0,0.6646356943
5691,489937,NC,4,2,0.46268656716417,26935.0,14400.0,14400.0,38077.0,0.6956521739
5747,490805,IN,4,1,0.76359143327841,15347.0,8057.0,14948.0,44672.0,0.5964052288
5770,491288,WI,3,1,0.88958375361441,21310.0,6750.0,6750.0,53169.0,0.7699786117
5837,492476,PR,3,2,0.62666666666666,14270.0,6200.0,6200.0,21063.0,0.4519906323
5846,492759,LA,3,3,0.77777777777777,33299.0,19469.0,19469.0,82055.0,0.6646356943
5847,492801,MO,3,2,0.65418163160595,18678.0,7924.0,7924.0,39169.0,0.644379845
5850,492962,IN,3,2,0.65008025682183,22887.0,10224.0,10224.0,48091.0,0.489539749
5901,494162,TX,3,3,0.99377593360995,35923.0,21946.0,21946.0,31302.0,0.3667400881
5905,494278,PR,2,2,0.62666666666666,11863.0,6200.0,6200.0,21063.0,0.4519906323
5906,494287,PR,3,2,0.62666666666666,16292.0,6200.0,6200.0,21063.0,0.4519906323
5972,495420,FL,0,3,0.99377593360995,33089.0,20826.0,20826.0,31302.0,0.3667400881
5973,495439,FL,0,3,0.99377593360995,38323.0,24160.0,24160.0,31302.0,0.3667400881
5974,495448,AZ,0,3,0.99377593360995,33089.0,21946.0,21946.0,31302.0,0.3667400881
5975,495457,AZ,0,3,0.99377593360995,35566.0,23066.0,23066.0,31302.0,0.3667400881
5978,495767,PA,4,1,0.92264650518172,34174.0,18898.0,36476.0,61185.0,0.7931937173
6039,497268,UT,0,3,0.99377593360995,38403.0,20826.0,20826.0,31302.0,0.3667400881
6040,497277,AZ,2,3,0.99377593360995,28608.0,18334.0,18334.0,31302.0,0.3667400881
